to_d,stock,current,forecast,buying,quant,g_act_abs,g_act_pct,g_exp_abs,g_exp_pct
19-01-21,NET,81,79,81.53,6,0,-0.01,-12,-0.02
19-01-21,PINS,70,71,67.48,10,20,0.04,10,0.01
19-01-21,TWTR,45,46,48.75,2,-6,-0.08,2,0.02
19-01-21,ABNB,173,167,149.56,9,207,0.16,-54,-0.03
20-01-21,AAPL,132,129,131.078,4,0,0.01,-12,-0.02
20-01-21,ADS,72,73,77.23,6,-30,-0.07,6,0.01
20-01-21,DBX,22,22,21.49,24,0,0.02,0,0.0
20-01-21,SPWR,37,33,31.78,15,75,0.16,-60,-0.11
20-01-21,NIO,57,60,57.21,15,0,-0.0,45,0.05
20-01-21,SONO,28,26,21.199,25,150,0.32,-50,-0.07
20-01-21,RVLV,34,34,29.6,15,60,0.15,0,0.0
20-01-21,MRNA,125,125,146.58,3,-63,-0.15,0,0.0
20-01-21,BNTX,103,104,110.4,5,-35,-0.07,5,0.01
20-01-21,NET,83,80,81.53,6,6,0.02,-18,-0.04
20-01-21,PINS,72,71,67.48,10,40,0.07,-10,-0.01
20-01-21,TWTR,47,46,48.75,2,-2,-0.04,-2,-0.02
20-01-21,ABNB,161,166,155.128,16,80,0.04,80,0.03
21-01-21,AAPL,136,130,131.078,4,16,0.04,-24,-0.04
21-01-21,ADS,71,72,77.23,6,-36,-0.08,6,0.01
21-01-21,DBX,21,22,21.49,24,0,-0.02,24,0.05
21-01-21,SPWR,43,36,31.78,15,165,0.35,-105,-0.16
21-01-21,NIO,58,58,57.21,15,0,0.01,0,0.0
21-01-21,SONO,28,27,21.199,25,150,0.32,-25,-0.04
21-01-21,RVLV,35,34,29.6,15,75,0.18,-15,-0.03
21-01-21,MRNA,132,127,146.58,3,-42,-0.1,-15,-0.04
21-01-21,BNTX,105,103,110.4,5,-25,-0.05,-10,-0.02
21-01-21,NET,83,81,81.53,6,6,0.02,-12,-0.02
21-01-21,PINS,73,71,67.48,10,50,0.08,-20,-0.03
21-01-21,TWTR,47,46,48.75,2,-2,-0.04,-2,-0.02
21-01-21,ABNB,180,172,155.128,16,384,0.16,-128,-0.04
22-01-21,AAPL,139,131,131.078,4,28,0.06,-32,-0.06
22-01-21,ADS,70,72,77.23,6,-42,-0.09,12,0.03
22-01-21,DBX,22,22,21.49,24,0,0.02,0,0.0
22-01-21,SPWR,47,37,31.78,15,225,0.48,-150,-0.21
22-01-21,NIO,61,59,57.21,15,45,0.07,-30,-0.03
22-01-21,SONO,28,27,21.199,25,150,0.32,-25,-0.04
22-01-21,RVLV,36,35,29.6,15,90,0.22,-15,-0.03
22-01-21,MRNA,131,128,146.58,3,-45,-0.11,-9,-0.02
22-01-21,BNTX,108,104,110.4,5,-10,-0.02,-20,-0.04
22-01-21,NET,83,81,81.53,6,6,0.02,-12,-0.02
